"","PlantID","date","time.start","duration..min.","s.species","pre.post","visitor.rtu","v.species","behaviour","part.used","visitor.description","voucher."
"158","275","4.23.2017","12:37",15,"larrea","post","fly","fly","landing","flower","tiny",""
"159","275","4.23.2017","12:37",15,"larrea","post","fly","fly","landing","branch","",""
"160","276","4.23.2017","12:53",15,"larrea","post","spider","spider","crawling","branch","jumping spider, hunting",""
"161","276","4.23.2017","12:53",15,"larrea","post","ladybeetle","lady beetle","landing","branch","",""
"162","276","4.23.2017","12:53",15,"larrea","post","fly","fly","landing","branch","small",""
"163","276","4.23.2017","12:53",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","gray/black, same",""
"164","180","4.23.2017","13:11",15,"larrea","post","bombus?","centris rhodopus","landing","flower","",""
"165","180","4.23.2017","13:11",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","gray/black, same",""
"166","180","4.23.2017","13:11",15,"larrea","post","ladybeetle","lady beetle","landing","branch","",""
"167","180","4.23.2017","13:11",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","gray/black, same",""
"168","182","4.23.2017","13:29",15,"larrea","post","muscoid","Muscoidea","landing","branch","large",""
"169","182","4.23.2017","13:29",15,"larrea","post","pentamoidae","Pentamoidae","landing","branch","green, same",""
"170","194","4.23.2017","13:46",15,"larrea","post","bee","Megachile","","understory","","V"
"171","264","4.25.2017","15:36",15,"larrea","post","fly","fly","fly near","branch","black",""
"172","264","4.25.2017","15:36",15,"larrea","post","fly","fly","fly near","branch","buds, tiny",""
"173","301","4.25.2017","15:53",15,"larrea","post","centris","centris rhodopus","landing","flower","",""
"174","301","4.25.2017","15:53",15,"larrea","post","wasp","parasitoid wasp","landing","branch","buds, green/black, parasitic",""
"175","301","4.25.2017","15:53",15,"larrea","post","fly","fly","fly near","branch","small",""
"176","301","4.25.2017","15:53",15,"larrea","post","fly","fly","fly near","branch","buds, tiny",""
"177","295","4.25.2017","16:12",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","medium, not gray and black",""
"178","295","4.25.2017","16:12",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","medium, not gray and black",""
"179","295","4.25.2017","16:12",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","medium, not gray and black",""
"180","295","4.25.2017","16:12",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","medium, not gray and black",""
"181","295","4.25.2017","16:12",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","medium, not gray and black",""
"182","295","4.25.2017","16:12",15,"larrea","post","solitary.bee","solitary.bee","fly near","flower","medium, not gray and black",""
"183","295","4.25.2017","16:12",15,"larrea","post","solitary.bee","solitary.bee","fly near","flower","medium, not gray and black",""
"184","295","4.25.2017","16:12",15,"larrea","post","muscoid","Muscoidea","fly near","branch","",""
"185","295","4.25.2017","16:12",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","medium, not gray and black",""
"186","298","4.25.2017","16:30",15,"larrea","post","solitary.bee","solitary.bee","fly near","branch","",""
"187","298","4.25.2017","16:30",15,"larrea","post","fly","fly","landing","branch","green",""
"188","298","4.25.2017","16:30",15,"larrea","post","fly","fly","fly near","understory","",""
"189","298","4.25.2017","16:30",15,"larrea","post","syrphid","Syrphidaeae","fly near","branch","small",""
"190","298","4.25.2017","16:30",15,"larrea","post","fly","fly","fly near","branch","tiny",""
"191","298","4.25.2017","16:30",15,"larrea","post","solitary.bee","solitary.bee","fly near","branch","medium",""
"192","298","4.25.2017","16:30",15,"larrea","post","centris","centris rhodopus","fly near","","",""
"193","298","4.25.2017","16:30",15,"larrea","post","gb.solitary.bee","Eucera","fly near","understory","grey/black, yellow pollen, medium",""
"194","196","4.25.2017","16:48",15,"larrea","post","muscoid","Muscoidea","grooming","branch","",""
"195","196","4.25.2017","16:48",15,"larrea","post","wasp","parasitoid wasp","landing","branch","green/black, tiny",""
"196","196","4.25.2017","16:48",15,"larrea","post","muscoid","Muscoidea","landing","branch","",""
"197","196","4.25.2017","16:48",15,"larrea","post","pentamoidae","Pentamoidae","landing","branch","",""
"198","196","4.25.2017","16:48",15,"larrea","post","muscoid","Muscoidea","landing","branch","",""
"199","196","4.25.2017","16:48",15,"larrea","post","wasp","parasitoid wasp","landing","branch","green/black, tiny",""
"200","196","4.25.2017","16:48",15,"larrea","post","muscoid","Muscoidea","landing","branch","",""
"201","192","4.25.2017","17:05",15,"larrea","post","centris","centris rhodopus","fly near","","",""
"202","192","4.25.2017","17:05",15,"larrea","post","centris","centris rhodopus","landing","understory","",""
"203","297","4.26.2017","12:30",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flowering","",""
"204","297","4.26.2017","12:30",15,"larrea","post","muscoid","Muscoidea","landing","branch","",""
"205","297","4.26.2017","12:30",15,"larrea","post","gb.solitary.bee","Eucera","landing","understory","",""
"206","297","4.26.2017","12:30",15,"larrea","post","fly?","fly?","landing","branch","",""
"207","297","4.26.2017","12:30",15,"larrea","post","bombylid","bombylidae","landing","understory","",""
"208","294","4.26.2017","12:47",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","grey stripes, medium",""
"209","294","4.26.2017","12:47",15,"larrea","post","solitary.bee","solitary.bee","fly near","","grey/yellowish, medium",""
"210","294","4.26.2017","12:47",15,"larrea","post","solitary.bee","solitary.bee","fly near","","grey/yellowish, medium",""
"211","294","4.26.2017","12:47",15,"larrea","post","solitary.bee","solitary.bee","fly near","","grey/yellowish, medium",""
"212","294","4.26.2017","12:47",15,"larrea","post","centris","centris rhodopus","landing","flower","red eyes",""
"213","294","4.26.2017","12:47",15,"larrea","post","centris","centris rhodopus","fly near","","red eyes",""
"214","294","4.26.2017","12:47",15,"larrea","post","solitary.bee","Eucera","fly near","flower","black and grey, medium, white faced",""
"215","294","4.26.2017","12:47",15,"larrea","post","gb.solitary.bee","Eucera","landing","flower","",""
"216","294","4.26.2017","12:47",15,"larrea","post","?","?","fly near","branch","",""
"217","293","4.26.2017","13:04",15,"larrea","post","fly","fly","landing","branch","tiny",""
"218","293","4.26.2017","13:04",15,"larrea","post","bombylid","bombylidae","landing","understory","on ground",""
