,plant.id,date,time.start,duration..min.,s.species,pre.post,visitor.rtu,behaviour,touch plant,part.used,visitor.description,voucher.
294,186,4.29.2017,14:50,15,larrea,post,syrphid,fly near,N,buds,,
295,272,4.29.2017,15:08,15,larrea,post,fly,landing,Y,branch,tiny,
296,272,4.29.2017,15:08,15,larrea,post,apis.mellifera,landing,Y,flower,,
297,272,4.29.2017,15:08,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,flower,,
298,272,4.29.2017,15:08,15,larrea,post,syrphid,fly near,N,branch,,
299,272,4.29.2017,15:08,15,larrea,post,muscoid,landing,Y,flower,,
300,268,4.29.2017,15:26,15,larrea,post,solitary.bee,landing,Y,flower,yellow and black striped medium,
301,268,4.29.2017,15:26,15,larrea,post,fuzzygrey.solitary.bee,landing,Y,flower,,
302,268,4.29.2017,15:26,15,larrea,post,apis.mellifera,landing,Y,flower,,
303,268,4.29.2017,15:26,15,larrea,post,apis.mellifera,landing,Y,flower,,
304,268,4.29.2017,15:26,15,larrea,post,apis.mellifera,landing,N,understory,,
305,268,4.29.2017,15:26,15,larrea,post,asilid,landing,Y,branch,,
306,268,4.29.2017,15:26,15,larrea,post,solitary.bee,landing,Y,flower,"yellow and black striped, medium, pointy",
307,268,4.29.2017,15:26,15,larrea,post,apis.mellifera,landing,Y,flower,,
308,268,4.29.2017,15:26,15,larrea,post,solitary.bee,landing,Y,flower,medium,
309,265,4.29.2017,15:42,15,larrea,post,fly,landing,Y,flower,tiny,
310,265,4.29.2017,15:42,15,larrea,post,flying?,landing,Y,flower,,
311,265,4.29.2017,15:42,15,larrea,post,syrphid,fly near,N,branch,,
312,265,4.29.2017,15:42,15,larrea,post,fly,landing,Y,flower,tiny white,
313,104,4.29.2017,15:59,15,larrea,post,asilid,landing,Y,branch,,
314,104,4.29.2017,15:59,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,shrub,,
315,104,4.29.2017,15:59,15,larrea,post,fuzzygrey.solitary.bee,fly near,N,shrub,,
316,104,4.29.2017,15:59,15,larrea,post,fly,landing,Y,flower,tiny white,
