"","uniID","mean.visit.length","mean.fl.visits.per.visit","mean.un.visits.per.visit","PlantID","SecondaryID","Cam","treatment","flowering","Date","TimeOut","flowers.shrub","flowers.pot","het.shrub.blooming.neighbours","het.cactus.blooming.neighbours","understory.richness","het.annual.floral.density","understory.assoc","total.visits","Length","pos.Length","dec.Length","visits.per.hour","t.group","mean.fl.visits.per.hour","mean.un.visits.per.hour"
"34","LO14.13.2017",NA,1,1,"262","","LO1","open","pre","4.13.2017","11:12",0,13,2,0,3,0,"NO",20,"1:32:24",2018-03-09 01:32:24,1.54,12.987012987013,"open pre",0.649350649350649,0.649350649350649
"35","LO24.13.2017",0.0215972222222222,1,1,"180","","LO2","open","pre","4.13.2017","11:22",0,13,0,0,3,1,"NO",8,"1:32:33",2018-03-09 01:32:33,1.5425,5.18638573743922,"open pre",0.648298217179903,0.648298217179903
"36","LO34.13.2017",0.0121825396825397,1.14285714285714,1.14285714285714,"186","","LO3","open","pre","4.13.2017","11:39",0,13,1,0,4,2,"no",7,"1:02:41",2018-03-09 01:02:41,1.04472222222222,6.70034565275193,"open pre",1.09393398412276,1.09393398412276
"37","LO44.13.2017",0.0408496732026144,1.11764705882353,1.11764705882353,"192","","LO4","open","pre","4.13.2017","11:47",0,14,1,0,3,0,"no",17,"0:59:46",2018-03-09 00:59:46,0.996111111111111,17.0663692136085,"open pre",1.12201043272859,1.12201043272859
"38","LO54.13.2017",0.0200617283950617,1,1,"199","","LO5","open","pre","4.13.2017","12:03",1,2,0,0,2,0,"no",9,"1:16:44",2018-03-09 01:16:44,1.27888888888889,7.03735881841877,"open pre",0.781928757602085,0.781928757602085
"39","LO64.13.2017",0.0125925925925926,1,1,"300","","LO6","open","pre","4.13.2017","12:08",0,14,0,0,2,19,"no",3,"1:14:12",2018-03-09 01:14:12,1.23666666666667,2.42587601078167,"open pre",0.808625336927224,0.808625336927224
"40","LS14.13.2017",0.00461111111111111,1,1,"262","","LS1","shrub","pre","4.13.2017","11:12",0,13,2,0,2,0,"no",5,"1:37:21",2018-03-09 01:37:21,1.6225,3.08166409861325,"shrub pre",0.61633281972265,0.61633281972265
"41","LS24.13.2017",0.0609259259259259,1.33333333333333,1.33333333333333,"180","","LS2","shrub","pre","4.13.2017","11:22",0,13,2,0,4,1,"acamp",3,"1:42:07",2018-03-09 01:42:07,1.70194444444444,1.76268973396442,"shrub pre",0.783417659539742,0.783417659539742
"42","LS34.13.2017",0.02,1,1,"186","","LS3","shrub","pre","4.13.2017","11:39",0,13,2,0,4,14,"acamp",3,"1:01:54",2018-03-09 01:01:54,1.03166666666667,2.90791599353796,"shrub pre",0.969305331179321,0.969305331179321
"43","LS44.13.2017",0.0375,1,1,"192","","LS4","shrub","pre","4.13.2017","11:47",0,14,0,0,2,0,"no",1,"0:52:21",2018-03-09 00:52:21,0.8725,1.14613180515759,"shrub pre",1.14613180515759,1.14613180515759
