Rep,Slide,Transect,Het Grains,Malacothrix grains,,,,,,,,,,,,,
S2,1.2,stigma,1,4,32,,,,,,,,,,,,
S2,1.3,1,,3,2,1,2,,,,,,,,,,
S2,1.3,2,,1,1,2,1,,,,,,,,,,
S2,1.3,3,,1,1,1,,,,,,,,,,,
S2,1.3,4,,4,1,,,,,,,,,,,,
S2,1.3,5,,0,,,,,,,,,,,,,
S2,1.3,6,,1,1,1,2,3,,,,,,,,,
S2,1.3,7,,1,2,1,3,,,,,,,,,,
S2,1.3,8,1,1,1,3,2,1,1,1,2,2,4,,,,
S2,1.3,9,1,4,1,1,1,1,,,,,,,,,
S2,1.3,10,,1,1,,,,,,,,,,,,
S2,1.3,stigma,,14,,,,,,,,,,,,,
S2,2.1,1,,2,1,1,3,,,,,,,,,,
S2,2.1,2,,1,2,1,1,,,,,,,,,,
S2,2.1,3,,1,2,1,1,,,,,,,,,,
S2,2.1,4,,1,1,1,2,,,,,,,,,,
S2,2.1,5,,1,,,,,,,,,,,,,
S2,2.1,6,,1,,,,,,,,,,,,,
S2,2.1,7,,1,1,2,1,,,,,,,,,,
S2,2.1,8,,3,,,,,,,,,,,,,
S2,2.1,9,1,2,,,,,,,,,,,,,
S2,2.1,10,,0,,,,,,,,,,,,,
S2,2.1,stigma,,6,,,,,,,,,,,,,
S2,2.2,1,2,2,2,1,1,4,1,1,,,,,,,
S2,2.2,2,,4,2,1,2,2,1,2,,,,,,,
S2,2.2,3,2,1,1,1,7,,,,,,,,,,
S2,2.2,4,1,2,2,,,,,,,,,,,,
S2,2.2,5,1,1,,,,,,,,,,,,,
S2,2.2,6,,4,3,1,1,2,1,2,,,,,,,
S2,2.2,7,,2,7,,,,,,,,,,,,
S2,2.2,8,2,1,2,2,,,,,,,,,,,
S2,2.2,9,2,1,2,,,,,,,,,,,,
S2,2.2,10,,0,,,,,,,,,,,,,
S2,2.2,stigma,,13,,,,,,,,,,,,,
S2,2.3,1,,6,3,2,3,1,3,2,5,,,,,,
S2,2.3,2,1,2,1,1,1,3,1,1,3,,,,,,
S2,2.3,3,,2,2,6,,,,,,,,,,,
S2,2.3,4,2,2,2,1,,,,,,,,,,,
S2,2.3,5,,1,2,1,2,1,,,,,,,,,
S2,2.3,6,,1,2,3,1,,,,,,,,,,
S2,2.3,7,,7,4,3,2,1,,,,,,,,,
S2,2.3,8,,0,,,,,,,,,,,,,
S2,2.3,9,,0,,,,,,,,,,,,,
S2,2.3,10,,0,,,,,,,,,,,,,
S2,2.3,stigma,1,15,7,18,,,,,,,,,,,
S2,3.1,1,,0,,,,,,,,,,,,,
S2,3.1,2,,1,,,,,,,,,,,,,
S2,3.1,3,1,1,1,1,,,,,,,,,,,
S2,3.1,4,1,3,1,1,,,,,,,,,,,
S2,3.1,5,1,1,3,3,,,,,,,,,,,
S2,3.1,6,,1,,,,,,,,,,,,,
S2,3.1,7,,1,1,3,1,,,,,,,,,,
S2,3.1,8,1,1,,,,,,,,,,,,,
S2,3.1,9,,2,1,,,,,,,,,,,,
S2,3.1,10,,1,1,1,1,2,,,,,,,,,
S2,3.1,stigma,1,3,,,,,,,,,,,,,
S2,3.2,1,,2,1,1,1,1,,,,,,,,,
S2,3.2,2,,1,2,,,,,,,,,,,,
S2,3.2,3,,0,,,,,,,,,,,,,
S2,3.2,4,,1,,,,,,,,,,,,,
S2,3.2,5,,1,1,,,,,,,,,,,,
S2,3.2,6,1,1,1,1,,,,,,,,,,,
S2,3.2,7,,7,1,1,1,,,,,,,,,,
S2,3.2,8,,1,1,,,,,,,,,,,,
S2,3.2,9,,1,1,1,,,,,,,,,,,
S2,3.2,10,,0,,,,,,,,,,,,,
S2,3.2,stigma,,2,,,,,,,,,,,,,
S2,3.3,1,,3,1,3,1,4,1,3,,,,,,,
S2,3.3,2,2,1,2,1,1,1,1,1,1,,,,,,
S2,3.3,3,1,1,4,1,1,,,,,,,,,,
S2,3.3,4,2,3,3,,,,,,,,,,,,
S2,3.3,5,,1,1,1,1,,,,,,,,,,
S2,3.3,6,,5,1,,,,,,,,,,,,
S2,3.3,7,1,1,1,2,1,,,,,,,,,,
S2,3.3,8,,2,7,3,2,1,1,,,,,,,,
S2,3.3,9,,1,2,1,2,2,1,1,2,5,,,,,
S2,3.3,10,1,1,3,1,1,1,1,,,,,,,,
S2,3.3,stigma,1,6,,,,,,,,,,,,,
O2,1.1,1,,1,,,,,,,,,,,,,
O2,1.1,2,,1,3,1,,,,,,,,,,,
O2,1.1,3,,1,1,3,,,,,,,,,,,
O2,1.1,4,,2,,,,,,,,,,,,,
O2,1.1,5,,2,1,,,,,,,,,,,,
O2,1.1,6,,2,1,3,1,,,,,,,,,,
O2,1.1,7,,3,,,,,,,,,,,,,
O2,1.1,8,,2,,,,,,,,,,,,,
O2,1.1,9,,3,,,,,,,,,,,,,
O2,1.1,10,,3,3,4,1,,,,,,,,,,
O2,1.1,stigma,,10,25,,,,,,,,,,,,
O2,1.2,1,,1,6,6,,,,,,,,,,,
O2,1.2,2,,8,1,,,,,,,,,,,,
O2,1.2,3,,1,,,,,,,,,,,,,
O2,1.2,4,1,3,1,,,,,,,,,,,,
O2,1.2,5,,1,,,,,,,,,,,,,
O2,1.2,6,,2,,,,,,,,,,,,,
O2,1.2,7,,5,,,,,,,,,,,,,
O2,1.2,8,1,3,,,,,,,,,,,,,
O2,1.2,9,1,1,7,1,,,,,,,,,,,
O2,1.2,10,,3,,,,,,,,,,,,,
O2,1.2,stigma,,0,,,,,,,,,,,,,
O2,1.3,1,,5,5,1,,,,,,,,,,,
O2,1.3,2,,8,,,,,,,,,,,,,
O2,1.3,3,,3,,,,,,,,,,,,,
O2,1.3,4,,5,,,,,,,,,,,,,
O2,1.3,5,,2,2,,,,,,,,,,,,
O2,1.3,6,,2,1,,,,,,,,,,,,
O2,1.3,7,,0,,,,,,,,,,,,,
O2,1.3,8,,1,1,,,,,,,,,,,,
O2,1.3,9,1,3,1,1,2,,,,,,,,,,
O2,1.3,10,,1,1,3,1,1,,,,,,,,,
O2,1.3,stigma,,1,,,,,,,,,,,,,
O2,2.1,1,,0,,,,,,,,,,,,,
O2,2.1,2,,0,,,,,,,,,,,,,
O2,2.1,3,,2,,,,,,,,,,,,,
O2,2.1,4,,0,,,,,,,,,,,,,
O2,2.1,5,,1,,,,,,,,,,,,,
O2,2.1,6,,1,1,,,,,,,,,,,,
O2,2.1,7,1,0,,,,,,,,,,,,,
O2,2.1,8,,2,1,,,,,,,,,,,,
O2,2.1,9,,2,1,4,,,,,,,,,,,
O2,2.1,10,2,4,3,2,1,4,,,,,,,,,
O2,2.1,stigma,,11,,,,,,,,,,,,,
O2,2.2,1,,1,1,,,,,,,,,,,,
O2,2.2,2,,2,1,,,,,,,,,,,,
O2,2.2,3,,0,,,,,,,,,,,,,
O2,2.2,4,,1,,,,,,,,,,,,,
O2,2.2,5,1,5,1,1,,,,,,,,,,,
O2,2.2,6,,1,1,1,2,,,,,,,,,,
O2,2.2,7,,1,2,1,,,,,,,,,,,
O2,2.2,8,1,1,1,1,2,,,,,,,,,,
O2,2.2,9,,4,1,1,2,1,4,,,,,,,,
O2,2.2,10,,1,2,1,2,,,,,,,,,,
O2,2.2,stigma,1,7,,,,,,,,,,,,,
O2,2.3,1,,0,,,,,,,,,,,,,
O2,2.3,2,,1,2,,,,,,,,,,,,
O2,2.3,3,,2,,,,,,,,,,,,,
O2,2.3,4,,1,5,,,,,,,,,,,,
O2,2.3,5,,1,1,,,,,,,,,,,,
O2,2.3,6,,1,,,,,,,,,,,,,
O2,2.3,7,1,2,1,1,,,,,,,,,,,
O2,2.3,8,,1,2,1,,,,,,,,,,,
O2,2.3,9,,2,,,,,,,,,,,,,
O2,2.3,10,,0,,,,,,,,,,,,,
O2,2.3,stigma,,3,,,,,,,,,,,,,
O2,3.3,1,,3,,,,,,,,,,,,,
O2,3.3,2,,1,1,,,,,,,,,,,,
O2,3.3,3,,1,4,1,,,,,,,,,,,
O2,3.3,4,,1,1,,,,,,,,,,,,
O2,3.3,5,2,1,,,,,,,,,,,,,
O2,3.3,6,,2,1,,,,,,,,,,,,
O2,3.3,7,,0,,,,,,,,,,,,,
O2,3.3,8,,2,,,,,,,,,,,,,
O2,3.3,9,1,1,2,,,,,,,,,,,,
O2,3.3,10,,2,1,1,1,,,,,,,,,,
O2,3.3,stigma,1,1,,,,,,,,,,,,,
S3,1.1,1,1,1,3,3,1,1,1,3,,,,,,,
S3,1.1,2,,3,1,1,1,4,1,,,,,,,,
S3,1.1,3,1,1,3,,,,,,,,,,,,
S3,1.1,4,,2,1,1,2,,,,,,,,,,
S3,1.1,5,,3,1,2,1,1,3,,,,,,,,
S3,1.1,6,,4,1,1,1,2,1,,,,,,,,
S3,1.1,7,,8,,,,,,,,,,,,,
S3,1.1,8,,1,1,1,2,2,,,,,,,,,
S3,1.1,9,,1,1,1,2,2,1,1,1,,,,,,
S3,1.1,10,,10,1,1,1,,,,,,,,,,
S3,1.1,stigma,4,27,10,8,8,,,,,,,,,,
S3,1.2,1,,2,,,,,,,,,,,,,
S3,1.2,2,,2,1,,,,,,,,,,,,
S3,1.2,3,,1,1,2,1,,,,,,,,,,
S3,1.2,4,,1,1,,,,,,,,,,,,
S3,1.2,5,,3,2,,,,,,,,,,,,
S3,1.2,6,1,1,1,4,,,,,,,,,,,
S3,1.2,7,2,7,1,1,2,3,1,1,,,,,,,
S3,1.2,8,1,3,1,2,1,1,2,,,,,,,,
S3,1.2,9,,1,1,2,2,3,2,1,2,2,,,,,
S3,1.2,10,,4,2,1,,,,,,,,,,,
S3,1.2,stigma,5,19,12,2,,,,,,,,,,,
S3,1.3,1,,5,5,3,2,7,16,14,3,1,,,,,
S3,1.3,2,1,24,11,6,,,,,,,,,,,
S3,1.3,3,,7,1,10,,,,,,,,,,,
S3,1.3,4,1,14,12,9,1,,,,,,,,,,
S3,1.3,5,,9,16,1,,,,,,,,,,,
S3,1.3,6,1,17,22,,,,,,,,,,,,
S3,1.3,7,,3,2,1,11,,,,,,,,,,
S3,1.3,8,2,6,4,1,2,1,1,1,11,1,6,,,,
S3,1.3,9,2,2,3,8,6,18,3,2,3,1,2,5,5,,
S3,1.3,10,,9,3,9,2,,,,,,,,,,
S3,1.3,stigma,,9,,,,,,,,,,,,,
S3,2.1,1,,5,1,7,9,1,,,,,,,,,
S3,2.1,2,3,9,13,2,1,5,3,,,,,,,,
S3,2.1,3,,2,1,1,4,1,,,,,,,,,
S3,2.1,4,,2,,,,,,,,,,,,,
S3,2.1,5,,3,7,,,,,,,,,,,,
S3,2.1,6,,4,,,,,,,,,,,,,
S3,2.1,7,,1,1,12,,,,,,,,,,,
S3,2.1,8,,9,1,1,,,,,,,,,,,
S3,2.1,9,,2,1,1,1,1,3,2,4,,,,,,
S3,2.1,10,,2,1,2,,,,,,,,,,,
S3,2.1,stigma,,34,,,,,,,,,,,,,
S3,2.2,1,1,1,,,,,,,,,,,,,
S3,2.2,2,,2,3,3,,,,,,,,,,,
S3,2.2,3,,2,,,,,,,,,,,,,
S3,2.2,4,,0,,,,,,,,,,,,,
S3,2.2,5,,3,2,,,,,,,,,,,,
S3,2.2,6,,0,,,,,,,,,,,,,
S3,2.2,7,,1,,,,,,,,,,,,,
S3,2.2,8,,1,1,,,,,,,,,,,,
S3,2.2,9,,1,,,,,,,,,,,,,
S3,2.2,10,,1,,,,,,,,,,,,,
S3,2.2,stigma,,15,,,,,,,,,,,,,
S3,2.3,1,1,2,1,1,3,2,1,4,,,,,,,
S3,2.3,2,2,5,1,1,1,2,2,1,6,,,,,,
S3,2.3,3,1,4,1,1,1,2,5,,,,,,,,
S3,2.3,4,,3,1,1,1,,,,,,,,,,
S3,2.3,5,,1,1,1,1,1,2,3,1,,,,,,
S3,2.3,6,,2,2,1,1,1,,,,,,,,,
S3,2.3,7,3,1,2,3,,,,,,,,,,,
S3,2.3,8,,3,1,1,1,1,1,,,,,,,,
S3,2.3,9,1,2,1,1,6,,,,,,,,,,
S3,2.3,10,1,1,1,4,1,1,2,1,,,,,,,
S3,2.3,stigma,2,7,76,39,8,18,,,,,,,,,
S3,3.1,1,,2,3,,,,,,,,,,,,
S3,3.1,2,6,1,1,6,6,,,,,,,,,,
S3,3.1,3,,1,1,1,1,1,,,,,,,,,
S3,3.1,4,,1,1,1,,,,,,,,,,,
S3,3.1,5,3,1,1,6,,,,,,,,,,,
S3,3.1,6,1,2,1,2,,,,,,,,,,,
S3,3.1,7,1,2,,,,,,,,,,,,,
S3,3.1,8,2,1,1,1,2,,,,,,,,,,
S3,3.1,9,1,1,2,,,,,,,,,,,,
S3,3.1,10,,2,4,,,,,,,,,,,,
S3,3.1,stigma,1,3,,,,,,,,,,,,,
S3,3.2,1,,2,10,8,1,,,,,,,,,,
S3,3.2,2,,1,9,,,,,,,,,,,,
S3,3.2,3,1,4,,,,,,,,,,,,,
S3,3.2,4,,2,,,,,,,,,,,,,
S3,3.2,5,,3,,,,,,,,,,,,,
S3,3.2,6,,0,,,,,,,,,,,,,
S3,3.2,7,,0,,,,,,,,,,,,,
S3,3.2,8,8,14,8,2,,,,,,,,,,,
S3,3.2,9,,3,,,,,,,,,,,,,
S3,3.2,10,1,0,,,,,,,,,,,,,
S3,3.2,stigma,1,1,,,,,,,,,,,,,
S3,3.3,1,,1,1,,,,,,,,,,,,
S3,3.3,2,,0,,,,,,,,,,,,,
S3,3.3,3,,0,,,,,,,,,,,,,
S3,3.3,4,,0,,,,,,,,,,,,,
S3,3.3,5,,0,,,,,,,,,,,,,
S3,3.3,6,,2,,,,,,,,,,,,,
S3,3.3,7,,0,,,,,,,,,,,,,
S3,3.3,8,,0,,,,,,,,,,,,,
S3,3.3,9,1,1,,,,,,,,,,,,,
S3,3.3,10,,1,,,,,,,,,,,,,
