InsectID,Location,Date,PlantID,Magnet,Microsite,Flowering,Quantity,Order,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,highest.rtu,Common Name,Notes,Specimen Location,ID Keys Used
Shrub.273.April.11.2017.Braun.4,pinned,4.11.2017,273,larrea,shrub,pre,1,Hymenoptera,,Crabronidae,,,Miscophus,,,Miscophus,,,,
Open.288.April.11.2017.Braun.1,pinned,4.11.2017,288,larrea,open,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Open.288.April.11.2017.Braun.2,pinned,4.11.2017,288,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.288.April.11.2017.Braun.1,pinned,4.11.2017,288,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.288.April.11.2017.Braun.2,pinned,4.11.2017,288,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.288.April.11.2017.Braun.3,pinned,4.11.2017,288,larrea,shrub,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Shrub.288.April.11.2017.Braun.4,pinned,4.11.2017,288,larrea,shrub,pre,1,Hymenoptera,,Andrenidae,,,Andrena,,,Andrena,,,,
Shrub.288.April.11.2017.Braun.5,pinned,4.11.2017,288,larrea,shrub,pre,1,Hymenoptera,,Halictidae?,,,Halictus?,,,Halictus?,,one large hair band,,
Open.180.April.12.2017.Braun.1,pinned,4.12.2017,180,larrea,open,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Open.180.April.12.2017.Braun.2,pinned,4.12.2017,180,larrea,open,pre,1,Hymenoptera,,Mutillidae,,,,,,Mutillidae,,,,
Open.180.April.12.2017.Braun.3,pinned,4.12.2017,180,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.180.April.12.2017.Braun.4,pinned,4.12.2017,180,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.180.April.12.2017.Braun.5,pinned,4.12.2017,180,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.180.April.12.2017.Braun.1,,4.12.2017,180,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.191.April.12.2017.Braun.1,pinned,4.12.2017,191,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.191.April.12.2017.Braun.2,pinned,4.12.2017,191,larrea,shrub,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Open.196.April.12.2017.Braun.1,pinned,4.12.2017,196,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,orange abdomen,Lasioglossum,,,,
Open.196.April.12.2017.Braun.2,pinned,4.12.2017,196,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.196.April.12.2017.Braun.3,pinned,4.12.2017,196,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.196.April.12.2017.Braun.4,pinned,4.12.2017,196,larrea,open,pre,1,Hymenoptera,,,,,,,,Hymenoptera,,,,
Shrub.196.April.12.2017.Braun.1,pinned,4.12.2017,196,larrea,shrub,pre,1,Hymenoptera,,Asilidae,,,,,,Asilidae,,,,
Open.198.April.12.2017.Braun.1,pinned,4.12.2017,198,larrea,open,pre,1,Diptera,,ACalypterate,,,,,,ACalypterate,,,,
Open.198.April.12.2017.Braun.2,pinned,4.12.2017,198,larrea,open,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Shrub.198.April.12.2017.Braun.1,pinned,4.12.2017,198,larrea,shrub,pre,1,Hymenoptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.198.April.12.2017.Braun.2,pinned,4.12.2017,198,larrea,shrub,pre,1,Hymenoptera,,Crabronidae,,,,,,Crabronidae,,,,
Open.265.April.12.2017.Braun.1,pinned,4.12.2017,265,larrea,open,pre,1,Hymenoptera,,Crabronidae?,,,,,,Crabronidae?,,,,
Open.265.April.12.2017.Braun.2,pinned,4.12.2017,265,larrea,open,pre,1,Hymenoptera,,?,,,,,,Hymenoptera,,,,
Open.265.April.12.2017.Braun.3,pinned,4.12.2017,265,larrea,open,pre,1,Coleoptera,,Meloidae,,,Lytta,,Lytta auriculata,Lytta auriculata,red-eared blister beetle,,,
Open.265.April.12.2017.Braun.4,pinned,4.12.2017,265,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.265.April.12.2017.Braun.1,pinned,4.12.2017,265,larrea,shrub,pre,1,Hymenoptera,,Andrenidae?,,,Andrena?,,,Andrena,,,,
Shrub.265.April.12.2017.Braun.2,pinned,4.12.2017,265,larrea,shrub,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.265.April.12.2017.Braun.3,pinned,4.12.2017,265,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.289.April.12.2017.Braun.1,pinned,4.12.2017,289,larrea,open,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Open.289.April.12.2017.Braun.2,pinned,4.12.2017,289,larrea,open,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Shrub.289.April.12.2017.Braun.1,pinned,4.12.2017,289,larrea,shrub,pre,1,Hymenoptera,,Asilidae,,,,,,Asilidae,,,,
