PlantID,date,time.start,duration (min),s.species,pre.post,visitor.rtu,v.species,behaviour,part.used,visitor.description,voucher?
221,4.15.2017,14:42,15,buckhorn,pre,ladybeetle,,landing,branch,maybe asian,
221,4.15.2017,14:42,15,buckhorn,pre,fly,,crawling,branch,small,
221,4.15.2017,14:42,15,buckhorn,pre,chrysomelid,,landing,branch,black/purp,
221,4.15.2017,14:42,15,buckhorn,pre,fly,,landing,branch,"on bud, small",
221,4.15.2017,14:42,15,buckhorn,pre,fly,,landing,branch,"on bud, small",
221,4.15.2017,14:42,15,buckhorn,pre,fly,,landing,branch,tiny,
219,4.15.2017,15:00,15,buckhorn,pre,fly,,crawling,branch,small,
219,4.15.2017,15:00,15,buckhorn,pre,fly,,displaying,branch,small,
219,4.15.2017,15:00,15,buckhorn,pre,fly,,crawling,branch,small,
219,4.15.2017,15:00,15,buckhorn,pre,green.lacewing,,landing,branch,"green, 2 cm long",
219,4.15.2017,15:00,15,buckhorn,pre,pentamoidae,,crawling,branch,"green,",V
219,4.15.2017,15:00,15,buckhorn,pre,ladybeetle,,landing,branch,,
219,4.15.2017,15:00,15,buckhorn,pre,fly,,landing,branch,small,
219,4.15.2017,15:00,15,buckhorn,pre,fly,,landing,branch,tiny,
219,4.15.2017,15:00,15,buckhorn,pre,wasp,parasitoid wasp,landing,branch,"black, parastoid",
282,4.15.2017,15:32,15,larrea,pre,syrphid,,fly near,branch,,
282,4.15.2017,15:32,15,larrea,pre,fly,,fly near,branch,tiny,
282,4.15.2017,15:32,15,larrea,pre,acari,red spider mite,crawling,branch,red spider mite,
282,4.15.2017,15:32,15,larrea,pre,muscoid,Muscoidea,landing,branch,,
282,4.15.2017,15:32,15,larrea,pre,muscoid,Muscoidea,landing,branch,,
282,4.15.2017,15:32,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,inspecting branche and understory annuals,
282,4.15.2017,15:32,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,inspecting,
294,4.15.2017,15:59,15,larrea,pre,muscoid,Muscoidea,landing,branch,,
294,4.15.2017,15:59,15,larrea,pre,apis.mellifera,Apis mellifera,landing,understory,amsinckia,
294,4.15.2017,15:59,15,larrea,pre,solitary.bee,solitary.bee,landing,branch,"looks similar to one from buckhorn earlier, black and grey. Medium. Looks halictidae",
295,4.15.2017,14:19,15,larrea,pre,ladybeetle,lady beetle,fly near,branch,,
295,4.15.2017,14:19,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,inspecting buds,
295,4.15.2017,14:19,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,inspecting buds,
299,4.15.2017,16:41,15,larrea,pre,ladybeetle,lady beetle,fly near,branch,,
299,4.15.2017,16:41,15,larrea,pre,fly,fly,,branch,tiny,
299,4.15.2017,16:41,15,larrea,pre,fly,fly,landing,branch,small,
299,4.15.2017,16:41,15,larrea,pre,fly,fly,fly near,branch,tiny,
299,4.15.2017,16:41,15,larrea,pre,fly,fly ,fly near,branch,tiny,
264,4.16.2017,14:03,15,larrea,pre,wasp,parasitoid wasp,crawling,branch,"tiny, on buds",
264,4.16.2017,14:03,15,larrea,pre,ladybeetle,lady beetle,landing,branch,may be asian,
264,4.16.2017,14:03,15,larrea,pre,wasp,parasitoid wasp,crawling,branch,"tiny, on buds",
264,4.16.2017,14:03,15,larrea,pre,fly,fly,fly near,branch,tiny,
