"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.descript","visitor.rtu.original","highest.rtu","flies.on","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","id.check","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"29","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:32:23","0:39:12","0:06:49",3,2,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:06:49,0.113611111111111,0.333333333333333,0.222222222222222
"30","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:32:33","0:32:35","0:00:02",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:02,0.000555555555555556,0.111111111111111,0.111111111111111
"31","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:32:39","0:34:12","0:01:33",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:01:33,0.0258333333333333,0.111111111111111,0.111111111111111
"32","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid?","eupeodes/scaeva","Y","","","0:34:28","0:35:40","0:01:12",2,2,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:01:12,0.02,0.222222222222222,0.222222222222222
"33","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid?","eupeodes/scaeva","Y","","","0:35:57","0:40:31","0:04:34",2,2,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:04:34,0.0761111111111111,0.222222222222222,0.222222222222222
"34","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:38:57","0:40:06","0:01:09",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:01:09,0.0191666666666667,0.111111111111111,0.111111111111111
"35","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:39:23","0:45:24","0:06:01",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:06:01,0.100277777777778,0.111111111111111,0.111111111111111
"36","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:40:09","0:41:03","0:00:54",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:54,0.015,0.111111111111111,0.111111111111111
"37","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:47:41","0:47:51","0:00:10",1,1,"","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:10,0.00277777777777778,0.111111111111111,0.111111111111111
"38","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"yellow faced","syrphid","eupeodes/scaeva","Y","","","0:50:40","0:55:41","0:05:01",3,2,"1:06:01","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:05:01,0.0836111111111111,0.333333333333333,0.222222222222222
