"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.species","visitor.descript","visitor.rtu","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","X.2","X.3","X.4","X.5","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"33","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","syrphid","","","0:38:32","0:39:15","0:00:43",2,2,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:00:43,0.0119444444444444,NA,NA
"34","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","syrphid","likely same induvidual as above","","0:39:32","0:41:14","0:01:42",3,3,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:01:42,0.0283333333333333,NA,NA
"35","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","?","","","0:41:59","0:42:13","0:00:14",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:00:14,0.00388888888888889,NA,NA
"36","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","?little guy","","","0:45:40","1:38:30","0:52:50",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:52:50,0.880555555555556,NA,NA
"37","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","fly","very brief","","0:56:18","0:56:20","0:00:02",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:00:02,0.000555555555555556,NA,NA
"38","Brian","LS1","265","shrub","pre","Larrea","malacothrix","4.11.2017","1:38:30",NA,"","","fly","chased off by larger fly","","0:56:39","0:57:40","0:01:01",1,1,NA,NA,NA,NA,NA,NA,"LS14.11.2017",2018-03-12 00:01:01,0.0169444444444444,NA,NA
"39","Brian","LS2","275","shrub","pre","Larrea","malacothrix","4.11.2017","1:42:01",NA,"","","fly","","","0:40:16","0:48:23","0:08:07",1,1,NA,NA,NA,NA,NA,NA,"LS24.11.2017",2018-03-12 00:08:07,0.135277777777778,NA,NA
"40","Brian","LS2","275","shrub","pre","Larrea","malacothrix","4.11.2017","1:42:01",NA,"","","fly","","","0:42:23","0:42:28","0:00:05",1,1,NA,NA,NA,NA,NA,NA,"LS24.11.2017",2018-03-12 00:00:05,0.00138888888888889,NA,NA
"41","Brian","LS2","275","shrub","pre","Larrea","malacothrix","4.11.2017","1:42:01",NA,"","","syrphid","","","1:11:17","1:17:59","0:06:42",1,1,NA,NA,NA,NA,NA,NA,"LS24.11.2017",2018-03-12 00:06:42,0.111666666666667,NA,NA
"42","Brian","LS2","275","shrub","pre","Larrea","malacothrix","4.11.2017","1:42:01",NA,"","","small fly","","","1:25:59","1:42:01","0:16:02",1,1,NA,NA,NA,NA,NA,NA,"LS24.11.2017",2018-03-12 00:16:02,0.267222222222222,NA,NA
"43","Brian","LS2","275","shrub","pre","Larrea","malacothrix","4.11.2017","1:42:01",NA,"","","beetle?","stem crawl + flower visit","","1:38:43","1:40:58","0:02:15",2,1,NA,NA,NA,NA,NA,NA,"LS24.11.2017",2018-03-12 00:02:15,0.0375,NA,NA
